,occurrences,word,rank,word_correct
0,1, felson,102996,['felson']
1,1, beeped,102995,['beeped']
2,1, alfred.uucp,102994,['alfred.uucp']
3,1, dierksen,102993,['dierksen']
4,1, e.dierksen,102992,['e.dierksen']
5,1, fsf's,102991,"[""fsf's""]"
6,1, jtsiao,102990,['jtsiao']
7,1, distrotion,102989,['distrotion']
8,1, monnitors,102988,['monnitors']
9,1, changable,102987,['changable']
10,1, consis,102986,['consis']
11,1, tently,102985,['tently']
12,1, flopti,102984,['flopti']
13,1, productized,102983,['productized']
14,1, jdresser,102982,['jdresser']
15,1, shouldn,102981,['shouldn']
16,1, reccomended,102980,['reccomended']
17,1, specal,102979,['specal']
18,1, craphics,102978,['craphics']
19,1, dma's,102977,"[""dma's""]"
20,1, dsartori,102976,['dsartori']
21,1, sartorius,102975,['sartorius']
22,1, syntrex,102974,['syntrex']
23,1, accesibly,102973,['accesibly']
24,1, cs.sun.ac.za,102972,['cs.sun.ac.za']
25,1, anykey,102971,['anykey']
26,1, dell's,102970,"[""dell's""]"
27,1, diagsoft,102969,['diagsoft']
28,1, minitor,102968,['minitor']
29,1, boaring,102967,['boaring']
30,1, chovatia,102966,['chovatia']
31,1, _at_,102965,['_at_']
32,1, turbomodem,102964,['turbomodem']
33,1, hvd,102963,['hvd']
34,1, cheepest,102962,['cheepest']
35,1, electonics,102961,['electonics']
36,1, electornics,102960,['electornics']
37,1, scsin,102959,['scsin']
38,1, bcwhite,102958,['bcwhite']
39,1, ejen,102957,['ejen']
40,1, tmann,102956,['tmann']
41,1, bondwell,102955,['bondwell']
42,1, johansen,102954,['johansen']
43,1, prober,102953,['prober']
44,1, jcmorris,102952,['jcmorris']
45,1, msprague,102951,['msprague']
46,1, tristate,102950,['tristate']
47,1, comp.sys.ibm,102949,['comp.sys.ibm']
48,1, usdtsg.daytonoh.ncr.com,102948,['usdtsg.daytonoh.ncr.com']
49,1, celling,102947,['celling']
50,1, besonen,102946,['besonen']
51,1, student.umass.edu,102945,['student.umass.edu']
52,1, convinient,102944,['convinient']
53,1, jumnping,102943,['jumnping']
54,1, net'ers,102942,"[""net'ers""]"
55,1, attace,102941,['attace']
56,1, jozef,102940,['jozef']
57,1, klck,102939,['klck']
58,1, reconnected,102938,['reconnected']
59,1, slaby,102937,['slaby']
60,1, spkr,102936,['spkr']
61,1, turboswitch,102935,['turboswitch']
62,1, addstor,102934,['addstor']
63,1, althuogh,102933,['althuogh']
64,1, deliveree,102932,['deliveree']
65,1, technoology,102931,['technoology']
66,1, dfmorgan,102930,['dfmorgan']
67,1, asts,102929,['asts']
68,1, interchan,102928,['interchan']
69,1, joohwee,102927,['joohwee']
70,1, jnz,102926,['jnz']
71,1, jz,102925,['jz']
72,1, timerhi,102924,['timerhi']
73,1, timerlo,102923,['timerlo']
74,1, jschief,102922,['jschief']
75,1, schlaeger,102921,['schlaeger']
76,1, sloooooooowwwwwwer,102920,['sloooooooowwwwwwer']
77,1, chris.forker,102919,['chris.forker']
78,1, thannks,102918,['thannks']
79,1, guapo,102917,['guapo']
80,1, c.s.ibm.pc.misc,102916,['c.s.ibm.pc.misc']
81,1, reselection,102915,['reselection']
82,1, ide_int,102914,['ide_int']
83,1, maxitor,102913,['maxitor']
84,1, luttik,102912,['luttik']
85,1, flatmates,102911,['flatmate']
86,1, itt,102910,['itt']
87,1, tusc,102909,['tusc']
88,1, ruzun,102908,['ruzun']
89,1, whatsover,102907,['whatsover']
90,1, maynstream,102906,['maynstream']
91,1, schwinge,102905,['schwinge']
92,1, sunyab,102904,['sunyab']
93,1, sba,102903,['sba']
94,1, sbb,102902,['sbb']
95,1, scb,102901,['scb']
96,1, scts,102900,['scts']
97,1, sdcd,102899,['sdcd']
98,1, srts,102898,['srts']
99,1, baaa,102897,['baaa']
100,1, baaad,102896,['baaad']
101,1, itbijv,102895,['itbijv']
102,1, puknet.puk.ac.za,102894,['puknet.puk.ac.za']
103,1, venter,102893,['venter']
104,1, bleazard,102892,['bleazard']
105,1, dte's,102891,"[""dte's""]"
106,1, requiremts,102890,['requiremts']
107,1, compsurf,102889,['compsurf']
108,1, hotfix,102888,['hotfix']
109,1, braley,102887,['braley']
110,1, first.etc.bc.ca,102886,['first.etc.bc.ca']
111,1, tschewe,102885,['tschewe']
112,1, llf,102884,['llf']
113,1, conio.h,102883,['conio.h']
114,1, ise.canberra.edu.au,102882,['ise.canberra.edu.au']
115,1, joy.c,102881,['joy.c']
116,1, kbhit,102880,['kbhit']
117,1, lebedinsky,102879,['lebedinsky']
118,1, allister,102878,['allister']
119,1, tmccn,102877,['tmccn']
120,1, atclk,102876,['atclk']
121,1, ikos.com,102875,['ikos.com']
122,1, mylex,102874,['mylex']
123,1, appreasiated,102873,['appreasiated']
124,1, cabsav.vut.edu.au,102872,['cabsav.vut.edu.au']
125,1, muratti,102871,['muratti']
126,1, bellflower,102870,['bellflower']
127,1, calstate,102869,['calstate']
128,1, stevela,102868,['stevela']
129,1, a.h.henry,102867,['a.h.henry']
130,1, acknowlegement,102866,['acknowlegement']
131,1, aecox,102865,['aecox']
132,1, aiyagari,102864,['aiyagari']
133,1, alfheim.actrix.gen.nz,102863,['alfheim.actrix.gen.nz']
134,1, allen_wittenauer,102862,['allen_wittenauer']
135,1, andrew.mcmillan,102861,['andrew.mcmillan']
136,1, aplcenmp.apl.jhu.edu,102860,['aplcenmp.apl.jhu.edu']
137,1, apwhite,102859,['apwhite']
138,1, arien,102858,['arien']
139,1, assela,102857,['assela']
140,1, asselin,102856,['asselin']
141,1, aurand,102855,['aurand']
142,1, baechler,102854,['baechler']
143,1, beadles,102853,['beadle']
144,1, beders,102852,['beders']
145,1, bedersdorfer,102851,['bedersdorfer']
146,1, benningf,102850,['benningf']
147,1, benningfield,102849,['benningfield']
148,1, bhendel,102848,['bhendel']
149,1, biology.watstar.uwaterloo.ca,102847,['biology.watstar.uwaterloo.ca']
150,1, bkone,102846,['bkone']
151,1, bolek,102845,['bolek']
152,1, boleslaw,102844,['boleslaw']
153,1, borris.eece.unm.edu,102843,['borris.eece.unm.edu']
154,1, boschma,102842,['boschma']
155,1, bowe,102841,['bowe']
156,1, brianw,102840,['brianw']
157,1, bronner,102839,['bronner']
158,1, brors,102838,['brors']
159,1, carbon.isis.org,102837,['carbon.isis.org']
160,1, carsten_wimmer,102836,['carsten_wimmer']
161,1, cbaechle,102835,['cbaechle']
162,1, cedric,102834,['cedric']
163,1, chandoni,102833,['chandoni']
164,1, chandonia,102832,['chandonia']
165,1, chinchilla.ir.ucf.edu,102831,['chinchilla.ir.ucf.edu']
166,1, ciesielski,102830,['ciesielski']
167,1, claircom.com,102829,['claircom.com']
168,1, cmn,102828,['cmn']
169,1, cnadler,102827,['cnadler']
170,1, crispy.carb.il.us,102826,['crispy.carb.il.us']
171,1, cs.rug.nl,102825,['cs.rug.nl']
172,1, cstreete,102824,['cstreete']
173,1, d.jackson,102823,['d.jackson']
174,1, dabeef,102822,['dabeef']
175,1, dcp,102821,['dcp']
176,1, decarlo,102820,['decarlo']
177,1, dermit.isis.org,102819,['dermit.isis.org']
178,1, des.edu,102818,['des.edu']
179,1, dfki.uni,102817,['dfki.uni']
180,1, djm,102816,['djm']
181,1, dmi.usherb.ca,102815,['dmi.usherb.ca']
182,1, dpoole,102814,['dpoole']
183,1, drye,102813,['drye']
184,1, due.unit.no,102812,['due.unit.no']
185,1, easyrob,102811,['easyrob']
186,1, ee.umr.edu,102810,['ee.umr.edu']
187,1, eero.oulu.fi,102809,['eero.oulu.fi']
188,1, efeustel,102808,['efeustel']
189,1, elec.uq.oz.au,102807,['elec.uq.oz.au']
190,1, erzberg,102806,['erzberg']
191,1, esmith,102805,['esmith']
192,1, estec.estec.esa.nl,102804,['estec.estec.esa.nl']
193,1, etorrem,102803,['etorrem']
194,1, evanc,102802,['evanc']
